,Listing,Price,Title,Publisher,Platform,Release Year
0,"The $1,000,000 Pyramid (Nintendo Wii, 2011) Complete w/ Manual - Tested Working",14.99,"The $1,000,000 Pyramid",Ubisoft,Wii,2011
1,"Complete! The 1,000,000 Pyramid Nintendo Wii CIB Game Show Ships Free US Seller",13.0,"The $1,000,000 Pyramid",Ubisoft,Wii,2011
2,"The 1,000,000 Pyramid (Nintendo Wii, 2011) Complete - Cleaned, Tested",12.99,"The $1,000,000 Pyramid",Ubisoft,Wii,2011
3,"The $1,000,000 Pyramid for Nintendo Wii",13.99,"The $1,000,000 Pyramid",Ubisoft,Wii,2011
5,"The 1,000,000 Pyramid (Nintendo Wii, 2011) Complete Tested Rated E Everyone Fun",14.99,"The $1,000,000 Pyramid",Ubisoft,Wii,2011
8,"The 1,000,000 Pyramid Nintendo Wii 2011 With Manual Complete Rated E Video Game",15.99,"The $1,000,000 Pyramid",Ubisoft,Wii,2011
10,"The $100,000 Pyramid Game PC CD-ROM Sierra 2001 Quiz Show",14.5,"The $1,000,000 Pyramid",Ubisoft,Wii,2011
14,OO7 QUANTUM OF SOLACE NINTENDO WII COMPLETE & TESTED FREE SHIPPING ,9.99,007: Quantum of Solace,Activision,Wii,2008
15,James Bond 007: Quantum of Solace - Nintendo Wii - Complete - Clean & Tested,7.99,007: Quantum of Solace,Activision,Wii,2008
16,"James Bond 007: Quantum of Solace (Nintendo Wii, Clean Game Disc Tested ! -G",9.98,007: Quantum of Solace,Activision,Wii,2008
17,"007: Quantum of Solace  (Nintendo Wii, 2008) Complete W/ Manual Tested & Works",11.97,007: Quantum of Solace,Activision,Wii,2008
18,"James Bond 007: Quantum of Solace (Nintendo Wii, 2008)",8.99,007: Quantum of Solace,Activision,Wii,2008
22,James Bond 007: Quantum of Solace - Nintendo Wii - Complete - Clean & Tested,7.49,007: Quantum of Solace,Activision,Wii,2008
23,"James Bond 007: Quantum of Solace (Nintendo Wii, 2008) Tested Complete",11.49,007: Quantum of Solace,Activision,Wii,2008
